GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cart-service,com.tractorstore.cart.controller,CartController,0,33,0,0,0,8,0,5,0,5
cart-service,com.tractorstore.cart.controller,EventController,0,14,0,0,0,5,0,2,0,2
cart-service,com.tractorstore.cart,CartServiceApplication,5,3,0,0,2,1,1,1,1,1
cart-service,com.tractorstore.cart.model,OrderPlacedPayload,0,24,0,0,0,7,0,7,0,7
cart-service,com.tractorstore.cart.model,MiniCart,11,15,0,0,3,6,3,3,3,3
cart-service,com.tractorstore.cart.model,CartItemEntity,12,37,0,0,4,13,4,6,4,6
cart-service,com.tractorstore.cart.model,CartItem,19,34,0,0,5,11,5,6,5,6
cart-service,com.tractorstore.cart.model,Cart,15,29,0,0,4,8,4,4,4,4
cart-service,com.tractorstore.cart.model,AddCartItemRequest,0,31,0,0,0,9,0,9,0,9
cart-service,com.tractorstore.cart.model,OrderItemPayload,0,31,0,0,0,9,0,9,0,9
cart-service,com.tractorstore.cart.service,CartService,0,116,0,0,0,34,0,9,0,9
cart-service,com.tractorstore.cart.exception,GlobalExceptionHandler,32,50,0,0,8,16,2,4,2,4
cart-service,com.tractorstore.cart.config,WebConfig.new WebMvcConfigurer() {...},93,0,0,0,12,0,2,0,2,0
cart-service,com.tractorstore.cart.config,WebConfig,8,0,0,0,2,0,2,0,2,0
