GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
catalog-service,com.tractorstore,CatalogServiceApplication,5,3,0,0,2,1,1,1,1,1
catalog-service,com.tractorstore.model.outbox,OutboxEvent,25,27,0,0,7,10,7,3,7,3
catalog-service,com.tractorstore.config,WebConfig.new WebMvcConfigurer() {...},50,0,0,0,7,0,2,0,2,0
catalog-service,com.tractorstore.config,WebConfig,8,0,0,0,2,0,2,0,2,0
catalog-service,com.tractorstore.model,Product,0,27,0,0,0,1,0,1,0,1
catalog-service,com.tractorstore.model,AddCartItemRequest,0,31,0,0,0,9,0,9,0,9
catalog-service,com.tractorstore.model,Store,0,30,0,0,0,1,0,1,0,1
catalog-service,com.tractorstore.model,Cart,15,29,0,0,4,8,4,4,4,4
catalog-service,com.tractorstore.model,MiniCart,11,15,0,0,3,6,3,3,3,3
catalog-service,com.tractorstore.model,HomeData,0,15,0,0,0,1,0,1,0,1
catalog-service,com.tractorstore.model,Category,0,18,0,0,0,1,0,1,0,1
catalog-service,com.tractorstore.model,CartItem,19,34,0,0,5,11,5,6,5,6
catalog-service,com.tractorstore.model.order,OrderItemEntity,21,23,0,0,7,7,7,1,7,1
catalog-service,com.tractorstore.model.order,PlaceOrderRequest,0,66,0,0,0,19,0,19,0,19
catalog-service,com.tractorstore.model.order,PlaceOrderResponse,0,21,0,0,0,8,0,4,0,4
catalog-service,com.tractorstore.model.order,OrderEntity,39,39,0,0,13,14,13,1,13,1
catalog-service,com.tractorstore.model.order,OrderItem,0,31,0,0,0,9,0,9,0,9
catalog-service,com.tractorstore.event,OrderPlacedEvent,3,19,0,0,1,7,1,3,1,3
catalog-service,com.tractorstore.model.inventory,InventoryStockEntity,12,23,0,0,4,8,4,4,4,4
catalog-service,com.tractorstore.controller,CartController,0,25,0,0,0,6,0,4,0,4
catalog-service,com.tractorstore.controller,CatalogController,0,30,0,0,0,8,0,5,0,5
catalog-service,com.tractorstore.controller,OrderController,0,18,0,0,0,5,0,2,0,2
catalog-service,com.tractorstore.model.cart,CartItemEntity,12,37,0,0,4,13,4,6,4,6
catalog-service,com.tractorstore.model.catalog,CatalogProductEntity,3,48,0,0,1,17,1,9,1,9
catalog-service,com.tractorstore.model.catalog,CatalogCategoryEntity,3,30,0,0,1,11,1,6,1,6
catalog-service,com.tractorstore.model.catalog,CatalogStoreEntity,3,54,0,0,1,19,1,10,1,10
catalog-service,com.tractorstore.listener,InventoryEventListener,0,12,0,0,0,5,0,2,0,2
catalog-service,com.tractorstore.listener,CartEventListener,0,12,0,0,0,5,0,2,0,2
catalog-service,com.tractorstore.exception,GlobalExceptionHandler,0,66,0,0,0,19,0,5,0,5
catalog-service,com.tractorstore.service,CartService,0,104,0,0,0,30,0,7,0,7
catalog-service,com.tractorstore.service,OrderService,3,128,0,0,2,25,0,5,0,5
catalog-service,com.tractorstore.service,ColorDistanceService,0,53,0,0,0,10,0,3,0,3
catalog-service,com.tractorstore.service,InventoryService,0,57,0,2,0,14,0,5,0,4
catalog-service,com.tractorstore.service,CatalogService,1,227,1,7,0,61,1,20,0,17
catalog-service,com.tractorstore.service,ColorDistanceService.Rgb,6,48,1,3,1,7,1,3,0,2
