GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-service,com.tractorstore.order.controller,OrderController,0,26,0,0,0,7,0,3,0,3
order-service,com.tractorstore.order,OrderServiceApplication,5,3,0,0,2,1,1,1,1,1
order-service,com.tractorstore.order.model,OrderPlacedPayload,24,0,0,0,9,0,5,0,5,0
order-service,com.tractorstore.order.model,OrderItem,0,47,0,0,0,15,0,10,0,10
order-service,com.tractorstore.order.model,OrderDetailResponse,3,51,0,0,1,18,1,9,1,9
order-service,com.tractorstore.order.model,OrderItemEntity,9,31,0,0,3,11,3,5,3,5
order-service,com.tractorstore.order.model,OrderItemDetail,3,27,0,0,1,10,1,5,1,5
order-service,com.tractorstore.order.model,PlaceOrderResponse,3,21,0,0,1,8,1,4,1,4
order-service,com.tractorstore.order.model,PlaceOrderRequest,0,66,0,0,0,19,0,19,0,19
order-service,com.tractorstore.order.model,OrderItemPayload,12,18,0,0,4,7,4,2,4,2
order-service,com.tractorstore.order.model,OrderEntity,18,60,0,0,6,21,6,8,6,8
order-service,com.tractorstore.order.model,OutboxEvent,28,21,0,0,10,8,9,1,9,1
order-service,com.tractorstore.order.exception,GlobalExceptionHandler,19,33,0,0,6,10,2,3,2,3
order-service,com.tractorstore.order.event,InternalOrderPlacedEvent,3,19,0,0,1,7,1,3,1,3
order-service,com.tractorstore.order.config,WebConfig,0,45,0,0,0,6,0,2,0,2
order-service,com.tractorstore.order.config,AppConfig,23,0,0,0,6,0,3,0,3,0
order-service,com.tractorstore.order.service,OrderService,3,217,0,0,2,48,0,9,0,9
order-service,com.tractorstore.order.service,OrderEventPublisher,67,0,8,0,16,0,6,0,2,0
