GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tractor-store,com.tractorstore,TractorStoreApplication,8,0,0,0,3,0,2,0,2,0
tractor-store,com.tractorstore.catalog.domain,Store,27,0,0,0,11,0,6,0,6,0
tractor-store,com.tractorstore.catalog.domain,CatalogProduct,33,0,0,0,13,0,7,0,7,0
tractor-store,com.tractorstore.inventory.api,InventoryController,15,0,0,0,4,0,2,0,2,0
tractor-store,com.tractorstore.inventory.api,InventoryController.StockResponse,9,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.order.domain,OrderLine,21,0,0,0,9,0,4,0,4,0
tractor-store,com.tractorstore.order.domain,OutboxEvent,31,0,0,0,13,0,4,0,4,0
tractor-store,com.tractorstore.order.domain,OrderStatus,9,0,0,0,2,0,1,0,1,0
tractor-store,com.tractorstore.order.domain,OrderEntity,69,0,0,0,21,0,11,0,11,0
tractor-store,com.tractorstore.cart.api,CartController.CheckoutRequest,12,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.cart.api,CartController,91,0,4,0,23,0,9,0,7,0
tractor-store,com.tractorstore.cart.api,CartController.AddItemRequest,12,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.catalog.application,CatalogService,83,0,6,0,19,0,11,0,8,0
tractor-store,com.tractorstore.cart.application,CartService,164,0,0,0,39,0,14,0,14,0
tractor-store,com.tractorstore.cart.application,CartView,12,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.cart.application,CartView.Item,15,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.cart.application,CartSummaryView,9,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.order.api,OrderController,60,0,4,0,16,0,6,0,4,0
tractor-store,com.tractorstore.order.api,OrderController.CreateOrderRequest,12,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.order.application,OrderCommand,15,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.order.application,OrderPlacedCommitted,12,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.order.application,OrderService,159,0,4,0,41,0,9,0,7,0
tractor-store,com.tractorstore.order.application,OrderView.Line,9,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.order.application,OrderPlacedPublisher,33,0,0,0,8,0,3,0,3,0
tractor-store,com.tractorstore.order.application,OrderView,27,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.notifications.application,NotificationsListener,33,0,0,0,8,0,4,0,4,0
tractor-store,com.tractorstore.inventory.domain,InventoryItem,27,0,0,0,10,0,5,0,5,0
tractor-store,com.tractorstore.cart.domain,Cart,64,0,4,0,20,0,9,0,7,0
tractor-store,com.tractorstore.cart.domain,CartItem,27,0,0,0,11,0,5,0,5,0
tractor-store,com.tractorstore.shared.events,OrderPlacedEvent,12,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.shared.events,OrderLinePayload,9,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.shared.events,CheckoutRequestedEvent,15,0,0,0,1,0,1,0,1,0
tractor-store,com.tractorstore.catalog.api,CatalogController,43,0,2,0,9,0,7,0,6,0
tractor-store,com.tractorstore.inventory.application,InventoryService,44,0,2,0,8,0,5,0,4,0
